id,post_content,post_title,post_status,post_type,model_answer_type,model_answers,value_checked,model_answers_chk
1676,"<strong>Data Controller</strong>
A controller determines the purposes and means of processing personal data - this is likely to be your company.

<strong>Data Protection Officer</strong>
Under the GDPR, you must appoint a DPO if:
- you are a public authority (except for courts acting in their judicial capacity);
- your core activities require large scale, regular and systematic monitoring of individuals (for example, online behaviour tracking); or
- your core activities consist of large scale processing of special categories of data or data relating to criminal convictions and offences.",About you,publish,wphrgdpr_privacy_policy,editor,[INSERT NAME OF RELEVANT PERSON/BODY/BUSINESS] is the data controller. This means we decide how your personal data is processed and for what purposes. Our contact details are: [INSERT YOUR CONTACT DETAILS]. For all data matters contact [DATA PROTECTION OFFICER/OUR DATA REPRESENTATIVE] on [INSERT CONTACT DETAILS].,,"s:17:""a:1:{i:0;s:0:"""";}"";"
1677,"The GDPR applies to ‘personal data’ meaning any information relating to an identifiable person who can be directly or indirectly identified in particular by reference to an identifier. For example, name, passport number, home address or private email address. Online identifiers include IP addresses and cookies.

You will need to conduct an audit of the data you process for employees and replace the model answer below with your own information.",1.0 What employee personal data do you collect?,publish,wphrgdpr_privacy_policy,editor,"Please list the types of information you collect on your employees, for example: ""We collect personal details needed to administer your records as an employee, including personal information such as: Name, address, phone numbers, email addresses, date of birth, next of kin, marital status, gender, educational and professional qualifications. In addition, we hold employment information such as: past employer details, start dates, tax codes, training and assessment records.",,"s:17:""a:1:{i:0;s:0:"""";}"";"
1678,"The GDPR refers to sensitive personal data as ‘special categories of personal data’ (as explained in Article 9 of GDPR). The special categories specifically include genetic data, and biometric data where processed to uniquely identify an individual. Other examples include racial and ethnic origin, sexual orientation, health data, trade union membership, political opinions, religious or philosophical beliefs.",2.0 Do you collect any 'special category' data?,publish,wphrgdpr_privacy_policy,editor,"We collect information including: racial/ethnic origin, trade union affiliation, and health data.",,"s:17:""a:1:{i:0;s:0:"""";}"";"
1679,"The notice must include a description of all the purposes for which the personal data will be processed. It is advisable to keep the description of the purposes as broad as possible, whilst ensuring that it is accurate and not misleading. If a purpose is missed out, the personal data may not, in most cases, be used for that purpose without reissuing the data privacy notice, setting out the new purpose, processing condition and other relevant information. This does not mean that you can include in the notice every possible purpose; the purposes included must be reasonably foreseeable.

NB ""Process"" - means any operation or set of operations which is performed on personal data or on sets of personal data, whether or not by automated means, such as collection, recording, organisation, structuring, storage, adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction.",3.0 For what purpose(s) do you process personal data?,publish,wphrgdpr_privacy_policy,editor,"We use your personal data for the following purposes:
- To manage our employees;
- To maintain our own accounts and records;
- To inform individuals of news, events or activities.",,"a:1:{i:0;s:0:"""";}"
1680,"You need to identity at least one lawful basis for each purpose of processing. You can tick more than one box if more than one applies, although you should note that some are mutually exclusive). We strongly recommend you take legal advice before selecting which legal basis is appropriate for your organisation.",4.0 What is the legal basis on which the processing of Personal Data will take place?,publish,wphrgdpr_privacy_policy,checkbox,,"a:6:{i:0;s:1:""1"";i:1;s:1:""1"";i:2;s:1:""1"";i:3;s:1:""1"";i:4;s:1:""1"";i:5;s:1:""1"";}","a:6:{i:0;s:124:""Consent: the individual has given clear consent for your organisation to process their personal data for a specific purpose."";i:1;s:182:""Contract: the processing is necessary for a contract your organisation has with the individual, or because they have asked you to take specific steps before entering into a contract."";i:2;s:131:""Legal obligation: the processing is necessary for your organisation to comply with the law (not including contractual obligations)."";i:3;s:73:""Vital interests: the processing is necessary to protect someone’s life."";i:4;s:186:""Public task: the processing is necessary for your organisation to perform a task in the public interest or for your official functions, and the task or function has a clear basis in law."";i:5;s:354:""Legitimate interests: the processing is necessary for your organisations legitimate interests or the legitimate interests of a third party unless there is a good reason to protect the individual’s personal data which overrides those legitimate interests. (This cannot apply if you are a public authority processing data to perform your official tasks.)"";}"
1681,"IF YOU PROCESS SPECIAL CATEGORIES OF DATA, YOU MUST SATISFY AT LEAST ONE CONDITION UNDER ARTICLE 6 AND AT LEAST ONE CONDITION UNDER ARTICLE 9 AS LISTED BELOW. IGNORE THIS SECTION IF YOU DO NOT PROCESS SPECIAL CATEGORIES OF DATA. TICK MORE THAN ONE BOX, IF MORE THAN ONE APPLIES BUT INDICATE WHICH PURPOSE IT REFERS TO.",5.0 What is your lawful basis for processing your special categories of data?,publish,wphrgdpr_privacy_policy,checkbox,,"a:5:{i:0;s:1:""1"";i:1;s:1:""1"";i:2;s:1:""1"";i:3;s:1:""1"";i:4;s:1:""1"";}","a:5:{i:0;s:36:""Explicit consent of the data subject"";i:1;s:135:""Processing necessary for carrying out obligations under employment, social security or social protection law, or a collective agreement"";i:2;s:167:""Processing necessary to protect the vital interests of a data subject or another individual where the data subject is physically or legally incapable of giving consent"";i:3;s:319:""Processing carried out by a not-for-profit body with a political, philosophical, religious or trade union aim provided that the processing relates only to members or former members (or those who have regular contact with it in connection with those purposes); and there is no disclosure to a third party without consent"";i:4;s:78:""Processing relates to personal data manifestly made public by the data subject"";}"
1682,"Your personal data will be treated as strictly confidential, and will be shared only with (see below):",6.0 Is data shared with any third parties?,publish,wphrgdpr_privacy_policy,editor,Your data is only shared with organisations necessary for your employment. For example: - Pension Provider - Bank - Potential future employees requesting references - Emergency services in the event of an accident - Statutory authorities.,,"s:17:""a:1:{i:0;s:0:"""";}"";"
1683,"Whether personal data is transferred outside of the EEA and if so, details of the safeguards that are in place to protect the security of the data.",7.0 Do you transfer any data outside the European Economic Area?,publish,wphrgdpr_privacy_policy,editor,"[We do not transfer personal data outside the EEA.] OR [If personal data is transferred outside the EEA, include details of the countries and relevant safeguards that you have implemented.]",,"s:17:""a:1:{i:0;s:0:"""";}"";"
1684,"You need to include either a specific period of data retention or alternatively, you need to provide the criteria that can be used to determine how long you retain personal data.",8.0 How long do you keep your personal data?,publish,wphrgdpr_privacy_policy,editor,We keep your personal data for no longer than reasonably necessary for a period of [INSERT RELEVANT PERIOD] in order to [INSERT SUFFICIENT REASON FOR RETAINING PERSONAL DATA]. Examples include: in case of any legal claims/complaints,,"s:17:""a:1:{i:0;s:0:"""";}"";"
1685,Disclose why you need to process the individual’s personal data. Also explain what the implications will be if you don’t process the personal data.,9.0 Why are employees providing you with their personal data?,publish,wphrgdpr_privacy_policy,editor,"[You are under no statutory or contractual requirement or obligation to provide us with your personal data. But failure to do so will have the following consequences [INSERT DETAILS].] OR [We require your personal data as it is a [statutory] [or contractual requirement], [or a requirement necessary to enter into a contract.] OR [You are under an obligation to provide your personal data to us as [INSERT REASON]. If you fail to adhere the consequences will be [INSERT DETAILS].",,"s:17:""a:1:{i:0;s:0:"""";}"";"
